Russian_term	English_term	Russian_sentence	English_sentence_expert
в единицу времени	per unit time	При фиксированной длине волны падающего света число фотоэлектронов, вырываемых из фотокатода в единицу времени, пропорционально интенсивности света (т.е. сила тока насыщения пропорциональна освещенности фотокатода).	(i) At a fixed incident-light wavelength, the number of photoelectrons knocked out from a photocathode per unit time is proportional to the light intensity (i.e., the saturation current strength is proportional to the photocathode illuminance).
в интервале температур	in the temperature range of	Дифференциальную сканирующую калориметрию (ДСК) и термогравиметрию проводили на оборудовании NETZSCH STA  в интервале температур 20–1250С на воздухе при скорости нагрева и охлаждения 10 град/мин.	Differential scanning calorimetry (DSC) and thermogravimetry were carried out on a NETZSCH STA 449C equipment in the temperature range of 20–1250°C in air at the heating and cooling rates of 10 K/min.
в исследуемой системе	in the system under study	Что касается роли вакансий в исследуемой системе, для частотной области hω < E1  ЕОА оказывается более чувствительной к изменению , чем для hω > E2.	In regards to the role of vacancies in the system under study, the NOA is more sensitive to a change in Cv for the frequency region of hω < E1, in comparison with hω > E2.
в какой-то момент	at some instant	По мере пролета электронного сгустка через ондулятор в какой-то момент спонтанно начинается и выходит в насыщение режим ССИ, интенсивность излучения при этом экспоненциально возрастает.	While the electron bunch passes through the undulator, the SASE mode spontaneously occurs at some instant and then reaches saturation; the radiation intensity exponentially increases under these conditions.
в лабораторных условиях	under laboratory conditions	Еще в работе Н.В. Белова и Н.И. Органовой [21] установлено, что в лабораторных условиях ломоносовит легко вымывается водой не только при нагревании, но и на холоде.	Even in the earlier study by N.V. Belov and N.I. Organova [21], it was established that lomonosovite is easily washed out with water under laboratory conditions not only upon heating but also at low temperatures.
в логарифмических координатах	in logarithmic coordinates	На всех графиках данные по интенсивности рентгеновских отражений представлялись в логарифмических координатах с тем, чтобы сделать более выразительными слабые пики.	To emphasize weak peaks, the data on the X-ray reflection intensities are presented in logarithmic coordinates in all plots.
в лучшем случае	at best	В методе вторичной ионной масс-спектроскопии происходит локальное распыление поверхности сфокусированным ионным пучком и выполняется соответствующий анализ масс-спектров распыленных ионов, поэтому локальность метода определяется размером зонда исходного пучка и составляет, в лучшем случае, несколько десятков нанометров (50 нм).	Secondary ion mass spectroscopy implies local sputtering of the surface by a focused ion beam and corresponding analysis of the mass spectra of sputtered ions; therefore, the locality of this method is determined by the initial-beam probe size and equals to several tens of nanometers at best (~50 nm).
в направлении оптической оси	in the direction of the optical axis	В правых кристаллах в направлении оптической оси спирали правые (рис. 1б), а в перпендикулярном направлении – левые.	In the right-handed crystals, the helices are right- (Fig. 1b) and left-handed in the direction of the optical axis and perpendicular to it, respectively.
в направлении падающего пучка	in the incident beam direction	В своей докторской диссертации он писал: “… в направлении падающего пучка благодаря направленности актов отрицательной абсорбции должно наблюдаться увеличение интенсивности.	"He wrote in his doctoral dissertation: ""…due to the directionality of negative absorption events, an increase in intensity should be observed in the incident beam direction."
в настоящее время	currently	Среди электролитических систем в настоящее время большое внимание уделяют исследованию ионных жидкостей, которые имеют молекулярно-ионную природу с большой ионной составляющей.	Currently, ionic liquids, which have a molecular-ion nature with a large ionic component, are of great interest among electrolytic systems.
в науке и технике	in science and technology	В науке и технике используется много разных типов интерферометров, но наибольшую известность получил самый простой из них, а именно интерферометр с двумя щелями, известный как интерферометр Юнга [1].	Many different types of interferometers are used in science and technology; however, the most popular is the simplest one, specifically, the double-slit interferometer, known as the Young interferometer [1].
в начале координат	at the origin of coordinates	Базисный атом углерода зафиксирован в начале координат, а все атомы – в узлах пересечений многих семейств кристаллографических плоскостей, в том числе наиболее заполненных атомами плоскостей {220} [11].	The basic carbon atom is fixed at the origin of coordinates, and all atoms are located at the intersection sites of many sets of crystallographic planes (including the most heavily occupied {220} planes) [11].
в области взаимодействия	in the interaction region	Плотность мощности рентгеновского импульса в области взаимодействия составляет более 1018 Вт/см2.	X-ray pulse power density in the interaction region is more than 1018 W/cm2.
в области низких температур	at low temperatures	С тем чтобы была видна общая картина особенностей, ниже для этих веществ в табл. 3 приведены значения положительных и отрицательных коэффициентов линейного расширения αl × 106 1/К в области низких температур (10–300 К).	To show the general picture of the specific features, the values of positive and negative thermal expansion coefficients αl × 106 1/K for these materials at low temperatures (10–300 K) are given below in Table 3.
в области фазового перехода	near the phase transition	Показано, что в спектре рассеянного излучения кристалла кварца присутствует центральный пик, проявляющийся не только в области фазового перехода, но и в широком диапазоне температур вдали от Тс.	It was shown that the scattered radiation spectrum of a quartz crystal contains the central peak occurring not only near the phase transition but also in a wide temperature range far from Tc.
в общем случае	in the general case	Очевидно, что индекс упаковки α является функцией не только КЧ, но в общем случае также функцией соотношения периодов решетки, угла между осями и координат атомов в структуре.	It obvious that packing fraction α is a function of not only the coordination number but also (in the general case) the lattice period ratio, angle between the axes, and atomic coordinates in the structure.
в одних и тех же условиях	under the same conditions	Дифрактограммы всех образцов получены в одних и тех же условиях: рентгеновский дифрактометр Ultma IV фирмы Rigaku (Япония); напряжение 40 кВ; ток 30 мА; излучение CuKα; никелевый фильтр; высокоскоростной детектор D/tex; щели Соллера 2.5°; щель, ограничивающая расходимость падающего пучка 0.5°; скорость движения детектора 2 град/мин; шаг 0.01°.	The diffraction patterns of all samples were recorded using an Ultma IV X-ray diffractometer (Rigaku, Japan) under the same conditions: voltage 40 kV; current 30 mA; CuKα radiation; nickel filter; D/tex high-speed detector; 2.5° Soller slits; 0.5° slit, which limits the incident-beam divergence; detector velocity 2 K/min; and step 0.01°.
в окрестности фазового перехода	near the phase transition	При исследованиях структурного α–β-фазового перехода в кварце в узком интервале температур в окрестности фазового перехода ранее был обнаружен [9–11] эффект резкого возрастания (на 3–4 порядка) интенсивности рассеянного света, классифицируемый как эффект “опалесценции”, аналогичный эффекту опалесценции вблизи фазовых переходов типа “жидкость–пар”.	When studying the structural α–β phase transition in quartz in a narrow temperature range, the effect of sharp increase (by 3–4 orders of magnitude) in the scattered light intensity (classified as the opalescence effect, similar to that near liquid–vapor phase transitions) near the phase transition was previously found [9–11].
в определенной мере	to a certain extent	Подобный характер структуры зерна мог предполагать разную плотность внутренней части зерна и приграничных областей с элементами двойникования, что в определенной мере могло определять прочностные характеристики образцов.	This character of the grain structure may suggest different densities of the internal grain part and interfacial regions with twin elements, which can determine to a certain extent the strength characteristics of the samples.
в определенной степени	to a certain extent	При этом лазерно-плазменные источники рентгеновского излучения могут служить в качестве альтернативы обычным рентгеновским трубкам и в определенной степени синхротронным установкам [2–6].	Laser-plasma X-ray sources may be an alternative for conventional X-ray tubes and, to a certain extent, for synchrotron sources [2–6].
в определенных условиях	under certain conditions	Известно, что в определенных условиях Цит c может менять конформацию, переходя в состояние, близкое по свойствам к так называемой “moltenglobule” (расплавленная глобула), что может быть связано с изменением полярности среды [4].	Under certain conditions, Cyt c can undergo conformational changes to form a state similar in properties to the so-called molten globule, which may be due to changes in the polarity of the medium [4].
в первом порядке теории возмущений	in the first-order perturbation theory	Последнее было сделано в работе [12] в первом порядке теории возмущений.	The latter was taken into account in [12] in the first-order perturbation theory.
в поперечном направлении	in the transverse direction	При дифракции на двух щелях пучки от них начинают пересекаться на расстоянии z0 = x0/α вдоль оптической оси, где x0 – расстояние между щелями в поперечном направлении.	Under conditions of double-slit diffraction, the beams from the slits begin to intersect at a distance z0 = x0/α along the optical axis, where x0 is the distance between the slits in the transverse direction.
в порядке возрастания	in ascending order	Материалы расположены в порядке возрастания их относительной средней квадратичной упругой анизотропии	The materials are arranged in ascending order of their relative mean quadratic elastic anisotropy
в последнее время	recently	Но в последнее время высказано предположение о его присутствии вдали от температуры фазового перехода.	However, it has been recently stated that this peak may be present far from the phase-transition temperature.
в последние годы	in recent years	Разработанные в последние годы методы обработки первичных данных позволяют извлечь более двух десятков разнообразных характеристик материалов, что делает наноиндентирование гораздо более информативным средством по сравнению с традиционными видами механических испытаний [1, 2].	The methods for processing primary data developed in recent years can yield more than two tens of various characteristics of materials, which makes nanoindentation much more informative tool, in comparison with conventional mechanical tests [1, 2].
в пределах нескольких порядков величины	within several orders of magnitude	Характер зависимости остается близким к линейному в пределах нескольких порядков величины R.	The character of the dependence remains close to linear within several orders of magnitude of the R value.
в предположении, что	on the assumption that	Эти данные пересчитаны на размерность Дж/(моль К) в предположении, что плотность никеля постоянна и равна 8.875 г/см3 (мольная масса 58.693).	These data are recalculated into the dimension of J/(mol K) on the assumption that the nickel density is constant and equals to 8.875 g/cm3 (molar mass 58.693).
в пространстве параметров	in the space of parameters	Область исключения в пространстве параметров  основывается только на отношении энергетических спектров позитронов, полученных на разных расстояниях от детектора до ядра реактора.	The exclusion area in the space of parameters  is based only on the ratio of positron energy spectra recorded at different distances from the detector to the reactor core.
в процессе его роста	during its growth	Анализ структуры белковых кристаллов проводился рентгенодифракционными методами: расшифровка структуры методом РСА; оценка степени совершенства кристалла белка в процессе его роста методом in situ высокоразрешающей рентгеновской дифрактометрии.	The protein crystal structures were analyzed by X-ray diffraction methods, including the structure solution by XRD and the evaluation of the quality of the protein crystals during its growth by in situ high-resolution X-ray diffraction.
в различных областях науки и техники	in various fields of science and technology	В связи с этим фталоцианины продолжают привлекать внимание исследователей своими уникальными линейными и нелинейно-оптическими свойствами [7–9], благодаря которым эти красители широко используются в различных областях науки и техники [10–14].	In this regards, phthalocyanines continue to attract the attention of researchers by their unique linear and nonlinear optical properties [7–9], due to which these dyes are widely used in various fields of science and technology [10–14].
в рамках этой модели	within this model	В рамках этой модели получено точное решение системы уравнений теплопроводности для трехслойной системы, включающей в себя нелинейный кристалл, облучаемый квазибездифракционным излучением, подложку и окружающую среду.	An exact solution to the system of heat-conduction equations for a three-layer system, including a nonlinear crystal illuminated by quasi-non-diffraction radiation, substrate, and environment, was obtained within this model.
в рассматриваемой задаче	in the problem under consideration	В рассматриваемой задаче особенности полей при  не опасны, так как основные динамические явления происходят сначала вблизи фронта реакции, а потом постепенно распространяются по всей области.	In the problem under consideration, the field singularities at r = 0 are not dangerous, because the main dynamic phenomena occur first near the reaction front and then gradually propagate throughout the entire region.
в рассматриваемом случае	in the case under consideration	Следует заметить, что в рассматриваемом случае функция  имеет период  На рис. 3–5 показано изменение  по координате  на различных глубинах  в зависимости от величины.	Note that, in the case under consideration, function  has a period of  Figures 3–5 show the change in  along the coordinate  at different depths , depending on the  value.
в реальном эксперименте	in a real experiment	Таким образом, бинаризация позволяет улучшить качество восстановления структуры магнитных доменов в реальном эксперименте.	Thus, binarization makes it possible to improve the quality of reconstructing the magnetic domain structure in a real experiment.
в режиме диффузии	in the diffusion mode	Методика исследования нестационарного распространения фононов тепловых частот основана на измерении температурных зависимостей их транспортных характеристик в режиме диффузии в области гелиевых температур и неоднократно обсуждалась при исследовании структурных особенностей твердых диэлектрических материалов [9, 10].	The technique of studying the non-stationary propagation of thermal-frequency phonons is based on measuring the temperature dependences of their transport characteristics in the diffusion mode at liquid-helium temperatures; it was repeatedly discussed when investigating the structural features of solid dielectric materials [9, 10].
в режиме совпадений	in the coincidence mode	Конструкция спектрометров станции оптимизирована для работы с высокой частотой импульсов рентгеновского лазера в условиях регистрации различных частиц в режиме совпадений.	The design of the station spectrometers is optimized for operation with a high repetition frequency of X-ray laser pulses under conditions of detecting different particles in the coincidence mode.
в свободном пространстве	in free space	Для полосок с размерами, соизмеримыми с длиной волны в свободном пространстве, достаточно использовать 2-5 базисные функции по каждой координате.	For ribbons with sizes comparable with a wavelength in free space, it is sufficient to use 2–5 BFs for each coordinate.
в свою очередь	in turn	Это, в свою очередь, способствует формированию столбчатых зерен перовскита с более широким основанием, что иллюстрирует темнопольное изображение (рис. 3в).	This facilitates, in turn, the formation of columnar perovskite grains with a wider base, which is illustrated by the dark-field image (Fig. 3c).
в смысле главного значения	in the sense of principal value	где символ “P” свидетельствует о том, что интеграл берется в смысле главного значения.	"where symbol ""P"" indicates that the integral is taken in the sense of principal value."
в стационарных условиях	under steady-state conditions	Отметим, что при импульсном воздействии интенсивного лазерного излучения на вещество принципиально важной становится скорость изменения давления и температуры в области воздействия как при вводе энергии в объем, так и при ее релаксации, а не только финальные значения данных величин, что важно в стационарных условиях сжатия и нагрева материала.	Note that, at the pulsed effect of strong laser radiation on a material, not only the final values of pressure and temperature in the impact region, but also the rates of their change, both at the energy introduced into bulk and at its relaxation, become critical, which is important under steady-state conditions of material compression and heating.
в существенной мере	to a great extent	В реальном спектроскопическом эксперименте эти интервалы в существенной мере задаются именно системой регистрации рассеянных нейтронов, которая может быть сделана таким образом, что телесный угол захвата будет очень большим.	In a real spectroscopic experiment, these ranges are determined to a great extent specifically by the system for detecting scattered neutrons, which can designed so as to make the capture solid angle very large.
в температурной области	in the temperature range	Измерения выполнены на пьезометре постоянного объема [13] по 10 изохорам в температурной области 300–575 К при давлениях до 16 МПа и в пределах плотности 65.4–663.4 кг/м3.	The measurements were carried out on a constant-volume piezometer [13] for ten isochores in the temperature range of 300–575 K, density range of 65.4–663.4 kg/m3, and under pressures up to 16 MPa.
в температурном диапазоне	in the temperature range	Результаты расчетов термодинамических функций с использованием потенциала (1) для основного и пяти низколежащих электронных состояний в температурном диапазоне 298.15–10 000 К представлены в табл. 2.	The results of calculations of the thermodynamic functions using potential (1) for the ground and five low-lying electronic states in the temperature range of 298.15–10 000 K are listed in Table 2.
в той или иной степени	to some extent	В этом случае поля упругих напряжений разного знака должны в той или иной степени гасить друг друга и этим обусловливать энергетическую выгоду именно такого взаимного расположения наноостровков по сравнению с другими вариантами.	In this case, elastic stress fields with different signs should suppress each other to some extent and thus make specifically this mutual position of nanoislands energetically favorable, in comparison with other versions.
в увеличенном масштабе	on an enlarged scale	Полосы Poley-type absorption в ИК спектрах исследованных производных ПС приведены в увеличенном масштабе на рис. 2.	The Poley absorption bands in the IR spectra of the investigated PS derivatives are shown on an enlarged scale in Fig. 2.
в узком интервале температур	in a narrow temperature range	При исследованиях структурного α–β-фазового перехода в кварце в узком интервале температур в окрестности фазового перехода ранее был обнаружен [9–11] эффект резкого возрастания (на 3–4 порядка) интенсивности рассеянного света, классифицируемый как эффект “опалесценции”, аналогичный эффекту опалесценции вблизи фазовых переходов типа “жидкость–пар”.	When studying the structural α–β phase transition in quartz in a narrow temperature range, the effect of sharp increase (by 3–4 orders of magnitude) in the scattered light intensity (classified as the opalescence effect, similar to that near liquid–vapor phase transitions) near the phase transition was previously found [9–11].
в условиях высокого вакуума	under high-vacuum conditions	Двухкоординатные рентгеновское детекторы позволяют регистрировать одиночные фотоны при высокой частоте кадров в условиях высокого вакуума (рис. 45).	2D X-ray detectors make it possible to record single photons at a high frame rate under high-vacuum conditions (Fig. 45).
в условиях микрогравитации	in microgravity	Эволюция поля безразмерной плотности в моменты времени : 0,2 (а), 0,6 (б), 1,0 (в), демонстрирующая конкуренцию между CDD– и DLC–неустойчивостями в условиях микрогравитации при	Evolution of the dimensionless-density field at the instants t = (a) 0.2, (b) 0.6, and (c) 1.0, which illustrates the competition between the CDD and DLC instabilities in microgravity ().
в условиях реального эксперимента	under real experimental conditions	Выбор именно этого материала обусловлен, во-первых, высоким пьезоэффектом, а во-вторых, обнаруженными ранее в [11] аномалиями в поведении аналогичных резонаторов в условиях интенсивных ультразвуковых нагрузок, что делает особенно актуальным проведение их исследований в условиях реального эксперимента на мощном синхротронном источнике.	Paratellurite was chosen as the resonator material, first, due to its high piezoelectric effect and, second, because of the previously found [11] anomalies in the behavior of similar resonators under intense ultrasonic loads, which makes especially urgent their study under real experimental conditions on a high-power synchrotron source.
в условиях, далеких от равновесных	under far-from-equilibrium conditions	Отметим существенную разницу в поперечном размере столбов для магнетронной пленки, выращенной в условиях, далеких от равновесных, и пленки, синтезированной в ПРПД.	Note that the transverse sizes of columns for the magnetron-sputtering film grown under far-from-equilibrium conditions and the film synthesized in the CFLPR differ significantly.
в ходе отжига	during annealing	При такой обработке гелий в процессе ионного облучения формирует кластеры с вакансиями, а затем накапливается в порах в ходе отжига [12].	At this treatment, helium forms clusters with vacancies during ion irradiation and then is accumulated in pores during annealing [12].
в хорошем согласии с	in good agreement with	Основные особенности состава и строения изученной высокониобиевой разновидности ломоносовита отражены в ее кристаллохимической формуле (Z = 1), которая находится в хорошем согласии с эмпирической, полученной в результате электронно-зондового анализа: Na7(Na0.67Ca0.33)[Na2(Nb0.48Mn0.28Ti0.24)(Ti0.82Mg0.18)][(Ti0.65Nb0.35)(Ti0.65)][Si2O7]2[PO4]2O3.53F0.47.	The main specific features of the composition and structure of the studied niobium-rich lomonosovite species are indicated by its crystallochemical formula (Z = 1), which is in good agreement with the empirical formula obtained as a result of the electron-probe analysis: Na7(Na0.67Ca0.33)[Na2(Nb0.48Mn0.28Ti0.24)(Ti0.82Mg0.18)][(Ti0.65Nb0.35)(Ti0.65)][Si2O7]2[PO4]2O3.53F0.47.
в центре инверсии	at the inversion center	Атом Mg1 расположен в центре инверсии, а Mg2 – в общей позиции.	The Mg1 atom is located at the inversion center, and Mg2 is at the general position.
в широкой области температур	in a wide temperature range	Присутствие центрального пика в широкой области температур в кристаллах кварца открывает возможность для реализации условий фазового синхронизма при нелинейно-оптических процессах в этом кристалле за счет вклада в закон сохранения квазиимпульса моды, соответствующей центральному пику, характеризующейся нулевой частотой и отличным от нуля квазиимпульсом.	The presence of the central peak in a wide temperature range in quartz crystals provides the possibility of implementing the phase-matching conditions for nonlinear optical processes in these crystals due to the contribution from the mode, which corresponds to the central peak and is characterized by zero frequency and nonzero quasi-momentum, to the quasi-momentum conservation law.
в широком интервале температур	in a wide temperature range	Рисунок 5а демонстрирует рассчитанные на основе соотношения (6) зависимости интенсивности I(Ω, T) стоксовых (Ω  0) и антистоксовых (Ω  0) спектральных компонент для модели двух связанных осцилляторов в широком интервале температур, включая точку фазового перехода в кристалле кварца.	Figure 5a demonstrates the dependences of the intensity I(Ω, T) of the Stokes (Ω > 0) and anti-Stokes (Ω < 0) spectral components calculated based on relation (6) for the model of two coupled oscillators in a wide temperature range (including the phase-transition point in a quartz crystal).
в этих условиях	under these conditions	Энергия ГЦК-никеля в этих условиях ниже, чем у ОЦК-никеля, так что структура ГЦК более устойчива, чем ОЦК.	The energy of fcc nickel under these conditions is lower than that of bcc nickel; therefore, the fcc structure is more stable than the bcc structure.
важно отметить, что	it is important that	Вместе с тем важно отметить, что в соответствии с диаграммой фазовых равновесий и многими литературными данными при высоких температурах кристаллическая фаза состава Ti50Ni25Cu25 имеет В2-решетку, а при охлаждении до комнатной температуры она испытывает термоупругое мартенситное превращение B2  B19 [9–14].	At the same time, it is important that, according to the diagram of phase equilibria and numerous data in the literature, the crystalline phase of the Ti50Ni25Cu25 composition has B2 lattice at high temperatures and undergoes the thermoelastic martensitic B2  B19 transformation upon cooling to room temperature [9–14].
вблизи фазового перехода	near the phase transition	Интенсивность центрального пика при комнатной температуре существенно меньше его интенсивности вблизи фазового перехода (в 104 раз).	The central-peak intensity at room temperature is much lower than that near the phase transition (by a factor of 104).
вдоль оси z	along the z axis	В направлении [001] такие кластеры связаны между собой дифосфатными группами с формированием лент, вытянутых вдоль оси z (рис. 4).	These clusters are linked to each other in the [001] direction through diphosphate groups to form ribbons running along the z axis (Fig. 4).
вектор напряженности поля	field vector	Магнитное поле создавали при помощи катушек Гельмгольца, помещенных на вращающемся столике так, чтобы вектор напряженности поля мог составлять различные углы с направлением распространения света.	The magnetic field was formed using Helmholtz coils, placed on a rotary table so that the field vector could make different angles with the light-propagation direction.
вектор обратной решетки	reciprocal lattice vector	где V0 – объем элементарной ячейки, b – вектор обратной решетки, WQ – тепловой фактор Дебая–Уоллера.	where V0 is the unit-cell volume, b is the reciprocal lattice vector, and WQ is the Debye–Waller factor.
верхняя заполненная молекулярная орбиталь	highest occupied molecular orbital	Ярким примером этого является фуллерен С74 [2]. В рамках хюккелевского приближения с параметром B ~ -2.6 eV щель между занятыми и вакантными состояниями, именуемая ВЗМО-НВМО (верхняя заполненная молекулярная орбиталь – нижняя вакантная молекулярная орбиталь) имеет малое значение ~ 0.01 eV, что никак не согласуется с экспериментом [2].	A striking example is fullerene C74 [2]: its energy spectrum calculated within the Hueckel approximation with parameter B ≈ –2.6 eV contained the so-called HOMO–LUMO (highest occupied molecular orbital–lowest unoccupied molecular orbital) gap between the occupied and vacant states of as small as ~0.01 eV, which disagrees with the experiment [2].
